fn,tid,title,ratingcount,theyear,movieid,,,
titles01/tt0066921,tt0066921,Uhrwerk Orange (1971),386962,1971,78,,,
titles01/tt0068646,tt0068646,Der Pate (1972),821410,1972,79,,,
titles01/tt0070735,tt0070735,Der Clou (1973),127640,1973,80,,,
titles01/tt0071315,tt0071315,Chinatown (1974),159935,1974,81,,,
titles01/tt0071562,tt0071562,Der Pate 2 (1974),541351,1974,82,,,
titles01/tt0071853,tt0071853,Die Ritter der Kokosnuß (1975),284563,1975,83,,,
titles01/tt0072684,tt0072684,Barry Lyndon (1975),74677,1975,84,,,
titles01/tt0072890,tt0072890,Hundstage (1975),137696,1975,85,,,
titles01/tt0073195,tt0073195,Der weiße Hai (1975),290528,1975,86,,,
titles01/tt0073486,tt0073486,Einer flog über das Kuckucksnest (1975),492141,1975,87,,,
titles01/tt0074958,tt0074958,Network (1976),75434,1976,88,,,
titles01/tt0075148,tt0075148,Rocky (1976),243942,1976,89,,,
titles01/tt0075314,tt0075314,Taxi Driver (1976),351181,1976,90,,,
titles01/tt0075686,tt0075686,Der Stadtneurotiker (1977),138617,1977,91,,,
titles01/tt0076759,tt0076759,Krieg der Sterne (1977),631839,1977,92,,,
titles01/tt0077416,tt0077416,Die durch die Hölle gehen (1978),174642,1978,93,,,
titles01/tt0078748,tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),391737,1979,94,,,
titles01/tt0078788,tt0078788,Apocalypse Now (1979),333178,1979,95,,,
titles01/tt0079470,tt0079470,Das Leben des Brian (1979),198548,1979,96,,,
titles01/tt0079944,tt0079944,Stalker (1979),47589,1979,97,,,
titles01/tt0080678,tt0080678,Der Elefantenmensch (1980),120156,1980,98,,,
titles01/tt0080684,tt0080684,Das Imperium schlägt zurück (1980),563252,1980,99,,,
titles01/tt0081398,tt0081398,Wie ein wilder Stier (1980),172854,1980,100,,,
titles01/tt0081505,tt0081505,Shining (1980),418163,1980,101,,,
titles01/tt0082096,tt0082096,Das Boot (1981),127022,1981,102,,,
titles01/tt0082971,tt0082971,Jäger des verlorenen Schatzes (1981),473742,1981,103,,,
titles01/tt0083658,tt0083658,Der Blade Runner (1982),350268,1982,104,,,
titles01/tt0083922,tt0083922,Fanny und Alexander (1982),30266,1982,105,,,
titles01/tt0083987,tt0083987,Gandhi (1982),121887,1982,106,,,
titles01/tt0084787,tt0084787,Das Ding aus einer anderen Welt (1982),188733,1982,107,,,
titles01/tt0085334,tt0085334,Fröhliche Weihnachten (1983),85811,1983,108,,,
titles01/tt0086190,tt0086190,Die Rückkehr der Jedi-Ritter (1983),445123,1983,109,,,
titles01/tt0086250,tt0086250,Scarface - Toni\,8.3,10200,110,,,
titles01/tt0086879,tt0086879,Amadeus (1984),198201,1984,111,,,
titles01/tt0087544,tt0087544,Nausicaä - Prinzessin aus dem Tal der Winde (1984),60197,1984,112,,,
titles01/tt0087843,tt0087843,Es war einmal in Amerika (1984),159607,1984,113,,,
titles01/tt0088247,tt0088247,Terminator (1984),413108,1984,114,,,
titles01/tt0088763,tt0088763,Zurück in die Zukunft (1985),478445,1985,115,,,
titles01/tt0089881,tt0089881,Ran (1985),58697,1985,116,,,
titles01/tt0090605,tt0090605,Aliens - Die Rückkehr (1986),353899,1986,117,,,
titles01/tt0091763,tt0091763,Platoon (1986),217699,1986,118,,,
titles01/tt0092005,tt0092005,Stand by Me - Das Geheimnis eines Sommers (1986),198139,1986,119,,,
titles01/tt0092067,tt0092067,Das Schloss im Himmel (1986),61387,1986,120,,,
titles01/tt0093058,tt0093058,Full Metal Jacket (1987),334586,1987,121,,,
titles01/tt0093779,tt0093779,Die Braut des Prinzen (1987),222749,1987,122,,,
titles01/tt0095016,tt0095016,Stirb langsam (1988),431906,1988,123,,,
titles01/tt0095327,tt0095327,Die letzten Leuchtkäfer (1988),85046,1988,124,,,
titles01/tt0095765,tt0095765,Cinema Paradiso (1988),103093,1988,125,,,
titles01/tt0096283,tt0096283,Mein Nachbar Totoro (1988),101445,1988,126,,,
titles01/tt0097576,tt0097576,Indiana Jones und der letzte Kreuzzug (1989),364585,1989,127,,,
titles01/tt0099685,tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia (1990),515242,1990,128,,,
titles01/tt0101414,tt0101414,Die Schöne und das Biest (1991),208331,1991,129,,,
titles01/tt0102926,tt0102926,Das Schweigen der Lämmer (1991),584102,1991,130,,,
titles01/tt0103064,tt0103064,Terminator 2 - Tag der Abrechnung (1991),523543,1991,131,,,
titles01/tt0105236,tt0105236,Reservoir Dogs - Wilde Hunde (1992),454684,1992,132,,,
titles01/tt0105695,tt0105695,Erbarmungslos (1992),205938,1992,133,,,
titles01/tt0107048,tt0107048,...und täglich grüßt das Murmeltier (1993),309177,1993,134,,,
titles01/tt0107207,tt0107207,Im Namen des Vaters (1993),74591,1993,135,,,
titles01/tt0108052,tt0108052,Schindlers Liste (1993),599579,1993,136,,,
titles01/tt0109830,tt0109830,Forrest Gump (1994),799314,1994,137,,,
titles01/tt0110357,tt0110357,Der König der Löwen (1994),408078,1994,138,,,
titles01/tt0110413,tt0110413,Léon - Der Profi (1994),501117,1994,139,,,
titles01/tt0110912,tt0110912,Pulp Fiction (1994),911042,1994,140,,,
titles01/tt0111161,tt0111161,Die Verurteilten (1994),1183395,1994,141,,,
titles01/tt0111495,tt0111495,Drei Farben - Rot (1994),47730,1994,142,,,
titles01/tt0112471,tt0112471,Before Sunrise - Zwischenstopp in Wien (1995),119333,1995,143,,,
titles01/tt0112573,tt0112573,Braveheart (1995),523797,1995,144,,,
titles01/tt0112641,tt0112641,Casino (1995),236730,1995,145,,,
titles01/tt0113247,tt0113247,Hass (1995),72274,1995,146,,,
titles01/tt0113277,tt0113277,Heat (1995),324264,1995,147,,,
titles01/tt0114369,tt0114369,Sieben (1995),691425,1995,148,,,
titles01/tt0114709,tt0114709,Toy Story (1995),410650,1995,149,,,
titles01/tt0114746,tt0114746,12 Monkeys (1995),342200,1995,150,,,
titles01/tt0114787,tt0114787,Underground (1995),30610,1995,151,,,
titles01/tt0114814,tt0114814,Die üblichen Verdächtigen (1995),523742,1995,152,,,
titles01/tt0116282,tt0116282,Fargo - Blutiger Schnee (1996),310335,1996,153,,,
titles01/tt0117951,tt0117951,Trainspotting - Neue Helden (1996),343921,1996,154,,,
titles01/tt0118694,tt0118694,In the Mood for Love - Der Klang der Liebe (2000),55016,2000,155,,,
titles01/tt0118715,tt0118715,The Big Lebowski (1998),380503,1998,156,,,
titles01/tt0118799,tt0118799,Das Leben ist schön (1997),266261,1997,157,,,
titles01/tt0119217,tt0119217,Good Will Hunting - Der gute Will Hunting (1997),414269,1997,158,,,
titles01/tt0119488,tt0119488,L.A. Confidential (1997),319796,1997,159,,,
titles01/tt0119698,tt0119698,Prinzessin Mononoke (1997),150101,1997,160,,,
titles01/tt0120382,tt0120382,Die Truman Show (1998),455656,1998,161,,,
titles01/tt0120586,tt0120586,American History X (1998),550302,1998,162,,,
titles01/tt0120689,tt0120689,The Green Mile (1999),499240,1999,163,,,
titles01/tt0120735,tt0120735,Bube Dame König grAS (1998),304448,1998,164,,,
titles01/tt0120737,tt0120737,Der Herr der Ringe - Die Gefährten (2001),871819,2001,165,,,
titles01/tt0120815,tt0120815,Der Soldat James Ryan (1998),600405,1998,166,,,
titles01/tt0133093,tt0133093,Matrix (1999),841150,1999,167,,,
titles01/tt0137523,tt0137523,Fight Club (1999),900388,1999,168,,,
titles01/tt0154420,tt0154420,Das Fest (1998),52322,1998,169,,,
titles01/tt0167260,tt0167260,Der Herr der Ringe - Die Rückkehr des Königs (2003),845383,2003,170,,,
titles01/tt0167261,tt0167261,Der Herr der Ringe - Die zwei Türme (2002),760587,2002,171,,,
titles01/tt0167404,tt0167404,Sixth Sense (1999),516468,1999,172,,,
titles01/tt0169102,tt0169102,Lagaan: Once Upon a Time in India (2001),33481,2001,173,,,
titles01/tt0169547,tt0169547,American Beauty (1999),602828,1999,174,,,
titles01/tt0172495,tt0172495,Gladiator (2000),661296,2000,175,,,
titles01/tt0180093,tt0180093,Requiem for a Dream (2000),413539,2000,176,,,
titles01/tt0198781,tt0198781,Die Monster AG (2001),374409,2001,177,,,
titles01/tt0208092,tt0208092,Snatch - Schweine und Diamanten (2000),432193,2000,178,,,
titles01/tt0209144,tt0209144,Memento (2000),605480,2000,179,,,
titles01/tt0211915,tt0211915,Die fabelhafte Welt der Amelie (2001),380600,2001,180,,,
titles01/tt0245429,tt0245429,Chihiros Reise ins Zauberland (2001),273502,2001,181,,,
titles01/tt0245712,tt0245712,Amores perros (2000),130465,2000,182,,,
titles01/tt0246578,tt0246578,Donnie Darko (2001),430315,2001,183,,,
titles01/tt0253474,tt0253474,Der Pianist (2002),331248,2002,184,,,
titles01/tt0266543,tt0266543,Findet Nemo (2003),451631,2003,185,,,
titles01/tt0266697,tt0266697,Kill Bill: Vol. 1 (2003),509895,2003,186,,,
titles01/tt0268978,tt0268978,A Beautiful Mind - Genie und Wahnsinn (2001),389925,2001,187,,,
titles01/tt0317248,tt0317248,City of God (2002),386540,2002,188,,,
titles01/tt0325980,tt0325980,Fluch der Karibik (2003),572501,2003,189,,,
titles01/tt0338013,tt0338013,Vergiss mein nicht (2004),475849,2004,190,,,
titles01/tt0338564,tt0338564,Infernal Affairs - Die achte Hölle (2002),68704,2002,191,,,
titles01/tt0347149,tt0347149,Das wandelnde Schloss (2004),136207,2004,192,,,
titles01/tt0353969,tt0353969,Salinui chueok (2003),39252,2003,193,,,
titles01/tt0361748,tt0361748,Inglourious Basterds (2009),561706,2009,194,,,
titles01/tt0363163,tt0363163,Der Untergang (2004),184234,2004,195,,,
