title,artist,album,theyear,discovery,rank,songid
"Please, Please, Please Let Me Get What I Want",The Smiths,Hatful of Hollow,1984,College,48,86
Santeria,Sublime,Sublime,1996,High School,81,87
I (Who Have Nothing),Tom Jones,I Who Have Nothing,1970,College,91,88
American Girl,Tom Petty and the Heartbreakers,Tom Petty & The Heartbreakers,1976,High School,23,89
Crimson and Clover,Tommy James & The Shondells,Crimson & Clover,1968,College,72,90
Hannah Hunt,Vampire Weekend,Modern Vampires of the City,2013,College,22,91
World Spins Madly On,The Weepies,Say I Am You,2006,College,100,92
Only in Dreams,Weezer,Weezer (Blue Album),1994,High School,1,93
Pink Triangle,Weezer,Pinkerton,1996,High School,59,94
Across the Sea,Weezer,Pinkerton,1996,High School,10,95
Polly,Whitney,Light Upon the Lake,2016,Post-Grad,95,96
Baba O'Riley,The Who,Who's Next,1971,High School,6,97
I am trying to break your heart,Wilco,Yankee Hotel Foxtrot,2002,College,15,98
17,Youth Lagoon,The Year of Hibernation,2011,High School,88,99
Father and Son,Yusuf / Cat Stevens,Tea for the Tillerman,1970,High School,30,100
